id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
1212,SI3,K,Round,5.0,5.99,70.0
1213,I1,K,Round,5.0,5.99,55.0
1214,I2,K,Round,5.0,5.99,32.0
1215,I3,K,Round,5.0,5.99,18.0
1216,IF,L,Round,5.0,5.99,150.0
1217,VVS1,L,Round,5.0,5.99,140.0
1218,VVS2,L,Round,5.0,5.99,135.0
1219,VS1,L,Round,5.0,5.99,130.0
1220,VS2,L,Round,5.0,5.99,120.0
1221,SI1,L,Round,5.0,5.99,110.0
1222,SI2,L,Round,5.0,5.99,90.0
1223,SI3,L,Round,5.0,5.99,65.0
1224,I1,L,Round,5.0,5.99,50.0
1225,I2,L,Round,5.0,5.99,30.0
1226,I3,L,Round,5.0,5.99,17.0
1227,IF,M,Round,5.0,5.99,125.0
1228,VVS1,M,Round,5.0,5.99,120.0
1229,VVS2,M,Round,5.0,5.99,115.0
1230,VS1,M,Round,5.0,5.99,110.0
1231,VS2,M,Round,5.0,5.99,105.0
1232,SI1,M,Round,5.0,5.99,95.0
1233,SI2,M,Round,5.0,5.99,75.0
1234,SI3,M,Round,5.0,5.99,60.0
1235,I1,M,Round,5.0,5.99,45.0
1236,I2,M,Round,5.0,5.99,29.0
1237,I3,M,Round,5.0,5.99,17.0
1238,IF,D,Round,10.0,10.99,2020.0
1239,VVS1,D,Round,10.0,10.99,1450.0
1240,VVS2,D,Round,10.0,10.99,1290.0
1241,VS1,D,Round,10.0,10.99,1120.0
1242,VS2,D,Round,10.0,10.99,890.0
1243,SI1,D,Round,10.0,10.99,565.0
1244,SI2,D,Round,10.0,10.99,370.0
1245,SI3,D,Round,10.0,10.99,175.0
1246,I1,D,Round,10.0,10.99,105.0
1247,I2,D,Round,10.0,10.99,54.0
1248,I3,D,Round,10.0,10.99,29.0
1249,IF,E,Round,10.0,10.99,1450.0
1250,VVS1,E,Round,10.0,10.99,1270.0
1251,VVS2,E,Round,10.0,10.99,1160.0
1252,VS1,E,Round,10.0,10.99,1020.0
1253,VS2,E,Round,10.0,10.99,810.0
1254,SI1,E,Round,10.0,10.99,520.0
1255,SI2,E,Round,10.0,10.99,355.0
1256,SI3,E,Round,10.0,10.99,165.0
1257,I1,E,Round,10.0,10.99,100.0
1258,I2,E,Round,10.0,10.99,52.0
1259,I3,E,Round,10.0,10.99,27.0
1260,IF,F,Round,10.0,10.99,1240.0
1261,VVS1,F,Round,10.0,10.99,1140.0
1262,VVS2,F,Round,10.0,10.99,1020.0
1263,VS1,F,Round,10.0,10.99,900.0
1264,VS2,F,Round,10.0,10.99,700.0
1265,SI1,F,Round,10.0,10.99,480.0
1266,SI2,F,Round,10.0,10.99,335.0
1267,SI3,F,Round,10.0,10.99,155.0
1268,I1,F,Round,10.0,10.99,95.0
1269,I2,F,Round,10.0,10.99,50.0
1270,I3,F,Round,10.0,10.99,26.0
1271,IF,G,Round,10.0,10.99,930.0
1272,VVS1,G,Round,10.0,10.99,880.0
1273,VVS2,G,Round,10.0,10.99,800.0
1274,VS1,G,Round,10.0,10.99,700.0
1275,VS2,G,Round,10.0,10.99,610.0
1276,SI1,G,Round,10.0,10.99,420.0
1277,SI2,G,Round,10.0,10.99,320.0
1278,SI3,G,Round,10.0,10.99,145.0
1279,I1,G,Round,10.0,10.99,90.0
1280,I2,G,Round,10.0,10.99,48.0
1281,I3,G,Round,10.0,10.99,25.0
1282,IF,H,Round,10.0,10.99,750.0
1283,VVS1,H,Round,10.0,10.99,690.0
1284,VVS2,H,Round,10.0,10.99,630.0
1285,VS1,H,Round,10.0,10.99,580.0
1286,VS2,H,Round,10.0,10.99,480.0
1287,SI1,H,Round,10.0,10.99,360.0
1288,SI2,H,Round,10.0,10.99,280.0
1289,SI3,H,Round,10.0,10.99,130.0
1290,I1,H,Round,10.0,10.99,85.0
1291,I2,H,Round,10.0,10.99,46.0
1292,I3,H,Round,10.0,10.99,24.0
1293,IF,I,Round,10.0,10.99,540.0
1294,VVS1,I,Round,10.0,10.99,510.0
1295,VVS2,I,Round,10.0,10.99,490.0
1296,VS1,I,Round,10.0,10.99,460.0
1297,VS2,I,Round,10.0,10.99,410.0
1298,SI1,I,Round,10.0,10.99,315.0
1299,SI2,I,Round,10.0,10.99,250.0
1300,SI3,I,Round,10.0,10.99,120.0
1301,I1,I,Round,10.0,10.99,80.0
1302,I2,I,Round,10.0,10.99,44.0
1303,I3,I,Round,10.0,10.99,23.0
1304,IF,J,Round,10.0,10.99,410.0
1305,VVS1,J,Round,10.0,10.99,390.0
1306,VVS2,J,Round,10.0,10.99,370.0
1307,VS1,J,Round,10.0,10.99,355.0
1308,VS2,J,Round,10.0,10.99,340.0
1309,SI1,J,Round,10.0,10.99,270.0
1310,SI2,J,Round,10.0,10.99,220.0
1311,SI3,J,Round,10.0,10.99,110.0
1312,I1,J,Round,10.0,10.99,75.0
1313,I2,J,Round,10.0,10.99,42.0
1314,I3,J,Round,10.0,10.99,22.0
1315,IF,K,Round,10.0,10.99,310.0
1316,VVS1,K,Round,10.0,10.99,300.0
1317,VVS2,K,Round,10.0,10.99,280.0
1318,VS1,K,Round,10.0,10.99,270.0
1319,VS2,K,Round,10.0,10.99,255.0
1320,SI1,K,Round,10.0,10.99,210.0
1321,SI2,K,Round,10.0,10.99,175.0
1322,SI3,K,Round,10.0,10.99,100.0
1323,I1,K,Round,10.0,10.99,70.0
1324,I2,K,Round,10.0,10.99,40.0
1325,I3,K,Round,10.0,10.99,21.0
1326,IF,L,Round,10.0,10.99,225.0
1327,VVS1,L,Round,10.0,10.99,220.0
1328,VVS2,L,Round,10.0,10.99,210.0
1329,VS1,L,Round,10.0,10.99,200.0
1330,VS2,L,Round,10.0,10.99,185.0
1331,SI1,L,Round,10.0,10.99,160.0
1332,SI2,L,Round,10.0,10.99,125.0
1333,SI3,L,Round,10.0,10.99,90.0
1334,I1,L,Round,10.0,10.99,60.0
1335,I2,L,Round,10.0,10.99,38.0
1336,I3,L,Round,10.0,10.99,20.0
1337,IF,M,Round,10.0,10.99,190.0
1338,VVS1,M,Round,10.0,10.99,185.0
1339,VVS2,M,Round,10.0,10.99,180.0
1340,VS1,M,Round,10.0,10.99,170.0
1341,VS2,M,Round,10.0,10.99,160.0
1342,SI1,M,Round,10.0,10.99,140.0
1343,SI2,M,Round,10.0,10.99,110.0
1344,SI3,M,Round,10.0,10.99,80.0
1345,I1,M,Round,10.0,10.99,50.0
1346,I2,M,Round,10.0,10.99,36.0
1347,I3,M,Round,10.0,10.99,19.0
1348,IF,D,Pear,0.3,0.39,30.0
1349,VVS1,D,Pear,0.3,0.39,26.0
1350,VVS2,D,Pear,0.3,0.39,23.0
1351,VS1,D,Pear,0.3,0.39,20.0
1352,VS2,D,Pear,0.3,0.39,18.0
1353,SI1,D,Pear,0.3,0.39,17.0
1354,SI2,D,Pear,0.3,0.39,16.0
1355,SI3,D,Pear,0.3,0.39,14.0
1356,I1,D,Pear,0.3,0.39,11.0
1357,I2,D,Pear,0.3,0.39,8.0
1358,I3,D,Pear,0.3,0.39,6.0
1359,IF,E,Pear,0.3,0.39,25.0
1360,VVS1,E,Pear,0.3,0.39,23.0
1361,VVS2,E,Pear,0.3,0.39,20.0
1362,VS1,E,Pear,0.3,0.39,18.0
1363,VS2,E,Pear,0.3,0.39,17.0
1364,SI1,E,Pear,0.3,0.39,16.0
1365,SI2,E,Pear,0.3,0.39,15.0
1366,SI3,E,Pear,0.3,0.39,13.0
1367,I1,E,Pear,0.3,0.39,10.0
1368,I2,E,Pear,0.3,0.39,8.0
1369,I3,E,Pear,0.3,0.39,5.0
1370,IF,F,Pear,0.3,0.39,22.0
1371,VVS1,F,Pear,0.3,0.39,20.0
1372,VVS2,F,Pear,0.3,0.39,18.0
1373,VS1,F,Pear,0.3,0.39,17.0
1374,VS2,F,Pear,0.3,0.39,16.0
1375,SI1,F,Pear,0.3,0.39,15.0
1376,SI2,F,Pear,0.3,0.39,14.0
1377,SI3,F,Pear,0.3,0.39,12.0
1378,I1,F,Pear,0.3,0.39,9.0
1379,I2,F,Pear,0.3,0.39,7.0
1380,I3,F,Pear,0.3,0.39,5.0
1381,IF,G,Pear,0.3,0.39,20.0
1382,VVS1,G,Pear,0.3,0.39,18.0
1383,VVS2,G,Pear,0.3,0.39,17.0
1384,VS1,G,Pear,0.3,0.39,16.0
1385,VS2,G,Pear,0.3,0.39,15.0
1386,SI1,G,Pear,0.3,0.39,14.0
1387,SI2,G,Pear,0.3,0.39,13.0
1388,SI3,G,Pear,0.3,0.39,11.0
1389,I1,G,Pear,0.3,0.39,9.0
1390,I2,G,Pear,0.3,0.39,7.0
1391,I3,G,Pear,0.3,0.39,5.0
1392,IF,H,Pear,0.3,0.39,18.0
1393,VVS1,H,Pear,0.3,0.39,17.0
1394,VVS2,H,Pear,0.3,0.39,16.0
1395,VS1,H,Pear,0.3,0.39,15.0
1396,VS2,H,Pear,0.3,0.39,14.0
1397,SI1,H,Pear,0.3,0.39,13.0
1398,SI2,H,Pear,0.3,0.39,12.0
1399,SI3,H,Pear,0.3,0.39,10.0
1400,I1,H,Pear,0.3,0.39,8.0
1401,I2,H,Pear,0.3,0.39,6.0
1402,I3,H,Pear,0.3,0.39,4.0
1403,IF,I,Pear,0.3,0.39,16.0
1404,VVS1,I,Pear,0.3,0.39,15.0
1405,VVS2,I,Pear,0.3,0.39,14.0
1406,VS1,I,Pear,0.3,0.39,13.0
1407,VS2,I,Pear,0.3,0.39,13.0
1408,SI1,I,Pear,0.3,0.39,12.0
1409,SI2,I,Pear,0.3,0.39,11.0
1410,SI3,I,Pear,0.3,0.39,9.0
1411,I1,I,Pear,0.3,0.39,8.0
1412,I2,I,Pear,0.3,0.39,6.0
1413,I3,I,Pear,0.3,0.39,4.0
1414,IF,J,Pear,0.3,0.39,13.0
1415,VVS1,J,Pear,0.3,0.39,12.0
1416,VVS2,J,Pear,0.3,0.39,12.0
1417,VS1,J,Pear,0.3,0.39,11.0
1418,VS2,J,Pear,0.3,0.39,11.0
1419,SI1,J,Pear,0.3,0.39,10.0
1420,SI2,J,Pear,0.3,0.39,9.0
1421,SI3,J,Pear,0.3,0.39,8.0
1422,I1,J,Pear,0.3,0.39,7.0
1423,I2,J,Pear,0.3,0.39,5.0
1424,I3,J,Pear,0.3,0.39,4.0
1425,IF,K,Pear,0.3,0.39,11.0
1426,VVS1,K,Pear,0.3,0.39,10.0
1427,VVS2,K,Pear,0.3,0.39,10.0
1428,VS1,K,Pear,0.3,0.39,9.0
1429,VS2,K,Pear,0.3,0.39,9.0
1430,SI1,K,Pear,0.3,0.39,8.0
1431,SI2,K,Pear,0.3,0.39,7.0
1432,SI3,K,Pear,0.3,0.39,7.0
1433,I1,K,Pear,0.3,0.39,6.0
1434,I2,K,Pear,0.3,0.39,5.0
1435,I3,K,Pear,0.3,0.39,3.0
1436,IF,L,Pear,0.3,0.39,10.0
1437,VVS1,L,Pear,0.3,0.39,9.0
1438,VVS2,L,Pear,0.3,0.39,9.0
1439,VS1,L,Pear,0.3,0.39,8.0
1440,VS2,L,Pear,0.3,0.39,8.0
1441,SI1,L,Pear,0.3,0.39,8.0
1442,SI2,L,Pear,0.3,0.39,7.0
1443,SI3,L,Pear,0.3,0.39,6.0
1444,I1,L,Pear,0.3,0.39,5.0
1445,I2,L,Pear,0.3,0.39,4.0
1446,I3,L,Pear,0.3,0.39,3.0
1447,IF,M,Pear,0.3,0.39,9.0
1448,VVS1,M,Pear,0.3,0.39,9.0
1449,VVS2,M,Pear,0.3,0.39,9.0
1450,VS1,M,Pear,0.3,0.39,8.0
1451,VS2,M,Pear,0.3,0.39,8.0
1452,SI1,M,Pear,0.3,0.39,7.0
1453,SI2,M,Pear,0.3,0.39,6.0
1454,SI3,M,Pear,0.3,0.39,5.0
1455,I1,M,Pear,0.3,0.39,4.0
1456,I2,M,Pear,0.3,0.39,3.0
1457,I3,M,Pear,0.3,0.39,3.0
1458,IF,D,Pear,0.4,0.49,33.0
1459,VVS1,D,Pear,0.4,0.49,32.0
1460,VVS2,D,Pear,0.4,0.49,29.0
1461,VS1,D,Pear,0.4,0.49,27.0
1462,VS2,D,Pear,0.4,0.49,25.0
1463,SI1,D,Pear,0.4,0.49,20.0
1464,SI2,D,Pear,0.4,0.49,18.0
1465,SI3,D,Pear,0.4,0.49,16.0
1466,I1,D,Pear,0.4,0.49,12.0
1467,I2,D,Pear,0.4,0.49,9.0
1468,I3,D,Pear,0.4,0.49,7.0
1469,IF,E,Pear,0.4,0.49,31.0
1470,VVS1,E,Pear,0.4,0.49,29.0
1471,VVS2,E,Pear,0.4,0.49,26.0
1472,VS1,E,Pear,0.4,0.49,24.0
1473,VS2,E,Pear,0.4,0.49,23.0
1474,SI1,E,Pear,0.4,0.49,19.0
1475,SI2,E,Pear,0.4,0.49,17.0
1476,SI3,E,Pear,0.4,0.49,15.0
1477,I1,E,Pear,0.4,0.49,11.0
1478,I2,E,Pear,0.4,0.49,9.0
1479,I3,E,Pear,0.4,0.49,6.0
1480,IF,F,Pear,0.4,0.49,28.0
1481,VVS1,F,Pear,0.4,0.49,26.0
1482,VVS2,F,Pear,0.4,0.49,24.0
1483,VS1,F,Pear,0.4,0.49,23.0
1484,VS2,F,Pear,0.4,0.49,22.0
1485,SI1,F,Pear,0.4,0.49,18.0
1486,SI2,F,Pear,0.4,0.49,16.0
1487,SI3,F,Pear,0.4,0.49,14.0
1488,I1,F,Pear,0.4,0.49,10.0
1489,I2,F,Pear,0.4,0.49,8.0
1490,I3,F,Pear,0.4,0.49,5.0
1491,IF,G,Pear,0.4,0.49,26.0
1492,VVS1,G,Pear,0.4,0.49,25.0
1493,VVS2,G,Pear,0.4,0.49,23.0
1494,VS1,G,Pear,0.4,0.49,22.0
1495,VS2,G,Pear,0.4,0.49,20.0
1496,SI1,G,Pear,0.4,0.49,17.0
1497,SI2,G,Pear,0.4,0.49,15.0
1498,SI3,G,Pear,0.4,0.49,13.0
1499,I1,G,Pear,0.4,0.49,10.0
1500,I2,G,Pear,0.4,0.49,8.0
1501,I3,G,Pear,0.4,0.49,5.0
1502,IF,H,Pear,0.4,0.49,24.0
1503,VVS1,H,Pear,0.4,0.49,23.0
1504,VVS2,H,Pear,0.4,0.49,21.0
1505,VS1,H,Pear,0.4,0.49,20.0
1506,VS2,H,Pear,0.4,0.49,18.0
1507,SI1,H,Pear,0.4,0.49,16.0
1508,SI2,H,Pear,0.4,0.49,14.0
1509,SI3,H,Pear,0.4,0.49,12.0
1510,I1,H,Pear,0.4,0.49,9.0
1511,I2,H,Pear,0.4,0.49,7.0
1512,I3,H,Pear,0.4,0.49,5.0
1513,IF,I,Pear,0.4,0.49,19.0
1514,VVS1,I,Pear,0.4,0.49,18.0
1515,VVS2,I,Pear,0.4,0.49,17.0
1516,VS1,I,Pear,0.4,0.49,17.0
1517,VS2,I,Pear,0.4,0.49,16.0
1518,SI1,I,Pear,0.4,0.49,15.0
1519,SI2,I,Pear,0.4,0.49,13.0
1520,SI3,I,Pear,0.4,0.49,11.0
1521,I1,I,Pear,0.4,0.49,9.0
1522,I2,I,Pear,0.4,0.49,7.0
1523,I3,I,Pear,0.4,0.49,4.0
1524,IF,J,Pear,0.4,0.49,17.0
1525,VVS1,J,Pear,0.4,0.49,16.0
1526,VVS2,J,Pear,0.4,0.49,16.0
1527,VS1,J,Pear,0.4,0.49,15.0
1528,VS2,J,Pear,0.4,0.49,14.0
1529,SI1,J,Pear,0.4,0.49,13.0
1530,SI2,J,Pear,0.4,0.49,12.0
1531,SI3,J,Pear,0.4,0.49,10.0
1532,I1,J,Pear,0.4,0.49,8.0
1533,I2,J,Pear,0.4,0.49,6.0
1534,I3,J,Pear,0.4,0.49,4.0
1535,IF,K,Pear,0.4,0.49,14.0
1536,VVS1,K,Pear,0.4,0.49,13.0
1537,VVS2,K,Pear,0.4,0.49,12.0
1538,VS1,K,Pear,0.4,0.49,11.0
1539,VS2,K,Pear,0.4,0.49,11.0
1540,SI1,K,Pear,0.4,0.49,10.0
1541,SI2,K,Pear,0.4,0.49,9.0
1542,SI3,K,Pear,0.4,0.49,8.0
1543,I1,K,Pear,0.4,0.49,7.0
1544,I2,K,Pear,0.4,0.49,6.0
1545,I3,K,Pear,0.4,0.49,4.0
1546,IF,L,Pear,0.4,0.49,12.0
1547,VVS1,L,Pear,0.4,0.49,11.0
1548,VVS2,L,Pear,0.4,0.49,11.0
1549,VS1,L,Pear,0.4,0.49,10.0
1550,VS2,L,Pear,0.4,0.49,10.0
1551,SI1,L,Pear,0.4,0.49,9.0
1552,SI2,L,Pear,0.4,0.49,8.0
1553,SI3,L,Pear,0.4,0.49,7.0
1554,I1,L,Pear,0.4,0.49,6.0
1555,I2,L,Pear,0.4,0.49,5.0
1556,I3,L,Pear,0.4,0.49,3.0
1557,IF,M,Pear,0.4,0.49,11.0
1558,VVS1,M,Pear,0.4,0.49,10.0
1559,VVS2,M,Pear,0.4,0.49,10.0
1560,VS1,M,Pear,0.4,0.49,9.0
1561,VS2,M,Pear,0.4,0.49,9.0
1562,SI1,M,Pear,0.4,0.49,8.0
1563,SI2,M,Pear,0.4,0.49,7.0
1564,SI3,M,Pear,0.4,0.49,6.0
1565,I1,M,Pear,0.4,0.49,5.0
1566,I2,M,Pear,0.4,0.49,4.0
1567,I3,M,Pear,0.4,0.49,3.0
1568,IF,D,Pear,0.5,0.69,50.0
1569,VVS1,D,Pear,0.5,0.69,41.0
1570,VVS2,D,Pear,0.5,0.69,37.0
1571,VS1,D,Pear,0.5,0.69,34.0
1572,VS2,D,Pear,0.5,0.69,32.0
1573,SI1,D,Pear,0.5,0.69,27.0
1574,SI2,D,Pear,0.5,0.69,24.0
1575,SI3,D,Pear,0.5,0.69,21.0
1576,I1,D,Pear,0.5,0.69,17.0
1577,I2,D,Pear,0.5,0.69,13.0
1578,I3,D,Pear,0.5,0.69,9.0
1579,IF,E,Pear,0.5,0.69,41.0
1580,VVS1,E,Pear,0.5,0.69,35.0
1581,VVS2,E,Pear,0.5,0.69,32.0
1582,VS1,E,Pear,0.5,0.69,31.0
1583,VS2,E,Pear,0.5,0.69,29.0
1584,SI1,E,Pear,0.5,0.69,25.0
1585,SI2,E,Pear,0.5,0.69,22.0
1586,SI3,E,Pear,0.5,0.69,19.0
1587,I1,E,Pear,0.5,0.69,16.0
1588,I2,E,Pear,0.5,0.69,13.0
1589,I3,E,Pear,0.5,0.69,8.0
1590,IF,F,Pear,0.5,0.69,35.0
1591,VVS1,F,Pear,0.5,0.69,32.0
1592,VVS2,F,Pear,0.5,0.69,30.0
1593,VS1,F,Pear,0.5,0.69,29.0
1594,VS2,F,Pear,0.5,0.69,27.0
1595,SI1,F,Pear,0.5,0.69,24.0
1596,SI2,F,Pear,0.5,0.69,21.0
1597,SI3,F,Pear,0.5,0.69,18.0
1598,I1,F,Pear,0.5,0.69,16.0
1599,I2,F,Pear,0.5,0.69,12.0
1600,I3,F,Pear,0.5,0.69,7.0
1601,IF,G,Pear,0.5,0.69,32.0
1602,VVS1,G,Pear,0.5,0.69,30.0
1603,VVS2,G,Pear,0.5,0.69,28.0
1604,VS1,G,Pear,0.5,0.69,27.0
1605,VS2,G,Pear,0.5,0.69,25.0
1606,SI1,G,Pear,0.5,0.69,23.0
1607,SI2,G,Pear,0.5,0.69,20.0
1608,SI3,G,Pear,0.5,0.69,16.0
1609,I1,G,Pear,0.5,0.69,15.0
1610,I2,G,Pear,0.5,0.69,12.0
1611,I3,G,Pear,0.5,0.69,7.0
1612,IF,H,Pear,0.5,0.69,29.0
1613,VVS1,H,Pear,0.5,0.69,27.0
1614,VVS2,H,Pear,0.5,0.69,26.0
1615,VS1,H,Pear,0.5,0.69,25.0
1616,VS2,H,Pear,0.5,0.69,23.0
1617,SI1,H,Pear,0.5,0.69,21.0
1618,SI2,H,Pear,0.5,0.69,19.0
1619,SI3,H,Pear,0.5,0.69,15.0
1620,I1,H,Pear,0.5,0.69,14.0
1621,I2,H,Pear,0.5,0.69,11.0
1622,I3,H,Pear,0.5,0.69,7.0
1623,IF,I,Pear,0.5,0.69,26.0
1624,VVS1,I,Pear,0.5,0.69,24.0
1625,VVS2,I,Pear,0.5,0.69,23.0
1626,VS1,I,Pear,0.5,0.69,22.0
1627,VS2,I,Pear,0.5,0.69,21.0
1628,SI1,I,Pear,0.5,0.69,19.0
1629,SI2,I,Pear,0.5,0.69,17.0
1630,SI3,I,Pear,0.5,0.69,14.0
1631,I1,I,Pear,0.5,0.69,13.0
1632,I2,I,Pear,0.5,0.69,11.0
1633,I3,I,Pear,0.5,0.69,6.0
1634,IF,J,Pear,0.5,0.69,22.0
1635,VVS1,J,Pear,0.5,0.69,21.0
1636,VVS2,J,Pear,0.5,0.69,20.0
1637,VS1,J,Pear,0.5,0.69,19.0
1638,VS2,J,Pear,0.5,0.69,18.0
1639,SI1,J,Pear,0.5,0.69,17.0
1640,SI2,J,Pear,0.5,0.69,16.0
1641,SI3,J,Pear,0.5,0.69,13.0
1642,I1,J,Pear,0.5,0.69,12.0
1643,I2,J,Pear,0.5,0.69,10.0
1644,I3,J,Pear,0.5,0.69,6.0
1645,IF,K,Pear,0.5,0.69,17.0
1646,VVS1,K,Pear,0.5,0.69,16.0
1647,VVS2,K,Pear,0.5,0.69,16.0
1648,VS1,K,Pear,0.5,0.69,15.0
1649,VS2,K,Pear,0.5,0.69,15.0
1650,SI1,K,Pear,0.5,0.69,14.0
1651,SI2,K,Pear,0.5,0.69,13.0
1652,SI3,K,Pear,0.5,0.69,12.0
1653,I1,K,Pear,0.5,0.69,10.0
1654,I2,K,Pear,0.5,0.69,8.0
1655,I3,K,Pear,0.5,0.69,6.0
1656,IF,L,Pear,0.5,0.69,15.0
1657,VVS1,L,Pear,0.5,0.69,14.0
1658,VVS2,L,Pear,0.5,0.69,14.0
1659,VS1,L,Pear,0.5,0.69,13.0
1660,VS2,L,Pear,0.5,0.69,13.0
1661,SI1,L,Pear,0.5,0.69,13.0
1662,SI2,L,Pear,0.5,0.69,12.0
1663,SI3,L,Pear,0.5,0.69,11.0
1664,I1,L,Pear,0.5,0.69,9.0
1665,I2,L,Pear,0.5,0.69,7.0
1666,I3,L,Pear,0.5,0.69,5.0
1667,IF,M,Pear,0.5,0.69,13.0
1668,VVS1,M,Pear,0.5,0.69,12.0
1669,VVS2,M,Pear,0.5,0.69,12.0
1670,VS1,M,Pear,0.5,0.69,12.0
1671,VS2,M,Pear,0.5,0.69,11.0
1672,SI1,M,Pear,0.5,0.69,11.0
1673,SI2,M,Pear,0.5,0.69,10.0
1674,SI3,M,Pear,0.5,0.69,9.0
1675,I1,M,Pear,0.5,0.69,8.0
1676,I2,M,Pear,0.5,0.69,6.0
1677,I3,M,Pear,0.5,0.69,5.0
1678,IF,D,Pear,0.7,0.89,65.0
1679,VVS1,D,Pear,0.7,0.89,52.0
1680,VVS2,D,Pear,0.7,0.89,49.0
1681,VS1,D,Pear,0.7,0.89,48.0
1682,VS2,D,Pear,0.7,0.89,46.0
1683,SI1,D,Pear,0.7,0.89,42.0
1684,SI2,D,Pear,0.7,0.89,35.0
1685,SI3,D,Pear,0.7,0.89,30.0
1686,I1,D,Pear,0.7,0.89,24.0
1687,I2,D,Pear,0.7,0.89,16.0
1688,I3,D,Pear,0.7,0.89,10.0
1689,IF,E,Pear,0.7,0.89,50.0
1690,VVS1,E,Pear,0.7,0.89,48.0
1691,VVS2,E,Pear,0.7,0.89,47.0
1692,VS1,E,Pear,0.7,0.89,46.0
1693,VS2,E,Pear,0.7,0.89,44.0
1694,SI1,E,Pear,0.7,0.89,40.0
1695,SI2,E,Pear,0.7,0.89,33.0
1696,SI3,E,Pear,0.7,0.89,28.0
1697,I1,E,Pear,0.7,0.89,23.0
1698,I2,E,Pear,0.7,0.89,15.0
1699,I3,E,Pear,0.7,0.89,9.0
1700,IF,F,Pear,0.7,0.89,48.0
1701,VVS1,F,Pear,0.7,0.89,46.0
1702,VVS2,F,Pear,0.7,0.89,45.0
1703,VS1,F,Pear,0.7,0.89,44.0
1704,VS2,F,Pear,0.7,0.89,42.0
1705,SI1,F,Pear,0.7,0.89,38.0
1706,SI2,F,Pear,0.7,0.89,30.0
1707,SI3,F,Pear,0.7,0.89,26.0
1708,I1,F,Pear,0.7,0.89,22.0
1709,I2,F,Pear,0.7,0.89,14.0
1710,I3,F,Pear,0.7,0.89,9.0
1711,IF,G,Pear,0.7,0.89,46.0
1712,VVS1,G,Pear,0.7,0.89,44.0
1713,VVS2,G,Pear,0.7,0.89,42.0
1714,VS1,G,Pear,0.7,0.89,41.0
1715,VS2,G,Pear,0.7,0.89,39.0
1716,SI1,G,Pear,0.7,0.89,35.0
1717,SI2,G,Pear,0.7,0.89,28.0
1718,SI3,G,Pear,0.7,0.89,24.0
1719,I1,G,Pear,0.7,0.89,21.0
1720,I2,G,Pear,0.7,0.89,14.0
1721,I3,G,Pear,0.7,0.89,8.0
1722,IF,H,Pear,0.7,0.89,42.0
1723,VVS1,H,Pear,0.7,0.89,40.0
1724,VVS2,H,Pear,0.7,0.89,37.0
1725,VS1,H,Pear,0.7,0.89,36.0
1726,VS2,H,Pear,0.7,0.89,35.0
1727,SI1,H,Pear,0.7,0.89,31.0
1728,SI2,H,Pear,0.7,0.89,26.0
1729,SI3,H,Pear,0.7,0.89,22.0
1730,I1,H,Pear,0.7,0.89,20.0
1731,I2,H,Pear,0.7,0.89,13.0
1732,I3,H,Pear,0.7,0.89,8.0
1733,IF,I,Pear,0.7,0.89,35.0
1734,VVS1,I,Pear,0.7,0.89,32.0
1735,VVS2,I,Pear,0.7,0.89,30.0
1736,VS1,I,Pear,0.7,0.89,29.0
1737,VS2,I,Pear,0.7,0.89,28.0
1738,SI1,I,Pear,0.7,0.89,27.0
1739,SI2,I,Pear,0.7,0.89,24.0
1740,SI3,I,Pear,0.7,0.89,20.0
1741,I1,I,Pear,0.7,0.89,18.0
1742,I2,I,Pear,0.7,0.89,13.0
1743,I3,I,Pear,0.7,0.89,8.0
1744,IF,J,Pear,0.7,0.89,28.0
1745,VVS1,J,Pear,0.7,0.89,27.0
1746,VVS2,J,Pear,0.7,0.89,26.0
1747,VS1,J,Pear,0.7,0.89,25.0
1748,VS2,J,Pear,0.7,0.89,24.0
1749,SI1,J,Pear,0.7,0.89,23.0
1750,SI2,J,Pear,0.7,0.89,22.0
1751,SI3,J,Pear,0.7,0.89,18.0
1752,I1,J,Pear,0.7,0.89,15.0
1753,I2,J,Pear,0.7,0.89,12.0
1754,I3,J,Pear,0.7,0.89,7.0
1755,IF,K,Pear,0.7,0.89,23.0
1756,VVS1,K,Pear,0.7,0.89,22.0
1757,VVS2,K,Pear,0.7,0.89,20.0
1758,VS1,K,Pear,0.7,0.89,19.0
1759,VS2,K,Pear,0.7,0.89,18.0
1760,SI1,K,Pear,0.7,0.89,17.0
1761,SI2,K,Pear,0.7,0.89,16.0
1762,SI3,K,Pear,0.7,0.89,15.0
1763,I1,K,Pear,0.7,0.89,14.0
1764,I2,K,Pear,0.7,0.89,10.0
1765,I3,K,Pear,0.7,0.89,7.0
1766,IF,L,Pear,0.7,0.89,20.0
1767,VVS1,L,Pear,0.7,0.89,20.0
1768,VVS2,L,Pear,0.7,0.89,19.0
1769,VS1,L,Pear,0.7,0.89,18.0
1770,VS2,L,Pear,0.7,0.89,17.0
1771,SI1,L,Pear,0.7,0.89,16.0
1772,SI2,L,Pear,0.7,0.89,15.0
1773,SI3,L,Pear,0.7,0.89,14.0
1774,I1,L,Pear,0.7,0.89,12.0
1775,I2,L,Pear,0.7,0.89,9.0
1776,I3,L,Pear,0.7,0.89,6.0
1777,IF,M,Pear,0.7,0.89,17.0
1778,VVS1,M,Pear,0.7,0.89,17.0
